S.No,comments ,Label
HATE_2631,Bekar Movie,hate
HATE_2632,I love her voice .... nice girl vagdevi madam so sweet of you,non-hate
HATE_2633,Chi Pooja Hegde Tho Polika Anti Aame Kante Meere Baaguntaaru,non-hate
HATE_2634,This puja is better than that puja ..,non-hate
HATE_2635,Ammai Heroine La Try Chesthe Bagundu Super Undi,non-hate
HATE_2636,Beautiful Ammai Ni Pattu Konae Verae Name Tho Enduku Pilustaru,non-hate
HATE_2637,Anchor nuvvu super ga vunnavu,non-hate
HATE_2638,Vagdhevi Nuvvu Heroinega Prabhas Gari Tho Heroinega Cheyyandi Superga Vuntundhi Prabha Vs Vagdhevi,non-hate
HATE_2639,This is what every father wants ...,non-hate
HATE_2640,Anna E Video 100 Sarla Chusina Thandri Kodukulo Madhya Unna Prema Super Ma,non-hate
HATE_2641,Bahusa Father and Son Antey Ilage Vundalemo ... Great Father and Good Son ...,non-hate
HATE_2642,"YES ANNA.RAMCHARN GREAT, MEETHARVATHA RC OKKADE",non-hate
HATE_2643,Ma Charan Annayya Baghunnadhu Love You Dad,non-hate
HATE_2644,Antha ma Ramcharan Annaya Manchitanam,non-hate
HATE_2645,Goppa Vaari Kadupulo.goppa Vaare Pudataaru.ANA Maata Mea Visayam lo Corect,non-hate
HATE_2646,Andharki Daddy Laki Kodkulu Pudtharu Kani Mega Star Gariki Manchi Vaadu Puttadu,non-hate
HATE_2647,Prabhas antey oka level and oka range,non-hate
HATE_2648,Prabhas Ki Shoulder Leg Surgery Chesaruu Then How Can He Maintain Six Pack,non-hate
HATE_2649,Bahubali Time Antha Baganey Unnav Anna. Tharwatha ee sahoo ki radhe shyam nachinatlu frnds tho sitting uu food padoyav anna ..ayina sarey darling ee no one,non-hate
HATE_2650,Prabhas face is doing a job that doesn't like it,hate
HATE_2651,Prabhas is the only one who is married or the heroes of Prasad,hate
HATE_2652,Anna Plz pellichesuko sir age 43 plz anna,non-hate
HATE_2653,Crying kadhu ekkuva vunnadu,hate
HATE_2654,"Mega, who has made more than 150 films, has never called Orei FANS",non-hate
HATE_2655,Who are shameful people who go to the movies .....,hate
HATE_2656,Niyamma missed this word after Bhaiya Arai did not stop with Arai,hate
HATE_2657,"Fans ki rowdies anna tagline pettinodu, Prematho Arey Anadam Tho Thappu Ledu",non-hate
HATE_2658,Write your work as you are exhausted,hate
HATE_2659,Fans ki respect Ivvslira Arye NTIRA,hate
HATE_2660,Arey Memu Ticket Konte Ne Ne Ne Chethilo Mike Nuvvu Nilabade Stage,hate
HATE_2661,Vijay Devarakonda,non-hate
HATE_2662,Rendu Cinemala ke kallu nettinekkinay.,hate
HATE_2663,This is why Liger has been hitting the movie,hate
HATE_2664,They have fans and fans,hate
HATE_2665,"Andhuke Dhula Baga Thirindhi, Annaaaa",hate
HATE_2666,Picha na kodaka !! Vinipisthunda ra Vijay ga !!,hate
HATE_2667,Everybody is using the style ... Devarakonda style Devarakonda The Home is missing ...,non-hate
HATE_2668,Friendly ga annadu,non-hate
HATE_2669,Nilo Nachedhi Attitude Super Rowdy Star,non-hate
HATE_2670,Box Office Amma Mogugu Charan Anna,non-hate
HATE_2671,The honor on the actor,non-hate
HATE_2672,Naku chala istam anasuya,non-hate
HATE_2673,Epudu anna video asalu,non-hate
HATE_2674,Inkenni rojulu wait cheyali bro,non-hate
HATE_2675,The world's largest corrupt party,hate
HATE_2676,"Your disoriented press meet, your kunna frostation looks clear",hate
HATE_2677,KCR Katham Inka,hate
HATE_2678,"90ML CM, why are you Hindus?",hate
HATE_2679,Jai Janasena Jai ​​Pavankalyan Jai Janasena,non-hate
HATE_2680,PSPK Andarini Encourge Chestadu .... Jai Janasenani,non-hate
HATE_2681,That crazy vengalappa face,hate
HATE_2682,What is the value of the face cut for that beauty?,hate
HATE_2683,Cinema Industry Ka King Kalyan Annaya,non-hate
HATE_2684,Bajana Party Gallu Kalyan Garini Vadu Kuntunnaru Andharu,hate
HATE_2685,Election TIME LO NI KALLU POYAYA,hate
HATE_2686,Mundhu ne cinema lu chusukora,hate
HATE_2687,ITUVANTIVI MATLADE CINEMALU NASHANAM CHESUKUNTUNNAV,hate
HATE_2688,Vadu baney unnadu nuvvu chusko nedi,hate
HATE_2689,EDE iThey Adi RGV NIJAALLU BAGA OPPUKUNTAARU,non-hate
HATE_2690,RGV Tho Antha Veasyy kaadu,non-hate
HATE_2691,Rangopal Verma Rangopal Verma is a good loser,non-hate
HATE_2692,FIST TIME Chusthunnara RGV OKARINI Ela Unnaru Ani Aduguthe,non-hate
HATE_2693,Yadhava ni yadhava laage trea Chesthaaaru,hate
HATE_2694,"Maa Veedhilo Prathi Roju Chettha Theesukelle Bandi Vasthuni, Vaallu Cheptharu Thadi Chettha Oka Vaipu, Podi Chettha Oka Vaipu Veyandi Ani.
Kaani ee chetthani ye vaipu veyyalo cheppaledu",hate
HATE_2695,Nuvuu Edhava sir edhi naa,hate
HATE_2696,Vedava ki brand ambassador sir miru,hate
HATE_2697,Harsha Inner Felling ... Madhya Lo Veedu Arustunadu,non-hate
HATE_2698,ma manasulo feeling mere cheppasaru,non-hate
HATE_2699,Enno kullu jokulu chusna bhayya ... kani idi peaks,non-hate
HATE_2700,EE Styles and Mannerisms Present Andaru Vaduthunnaru Mana Industry Lo,non-hate
HATE_2701,Bhajan Bhajan batch is more likely to be overpowered by Power Star,hate
HATE_2702,Rakul Rao .... As a Broker,hate
HATE_2703,Your ayya also takes the same fate,hate
HATE_2704,Mee Ayya FarmHouse Unte Mee Mee Mee Appudaina Mee Ayyani Chusindra Lolly Ga,hate
HATE_2705,Stop Raw Drama Rao,hate
HATE_2706,Naa sanka naku mari,hate
HATE_2707,Rajasekhar Reddy's chair is taken to the chair again by mistake,hate
HATE_2708,Anna understands that everyone will run to this song ..,non-hate
HATE_2709,"Comparison Bagundhi Kaani Result Matuki Bigboss Result Avvakudadhu
Blockbuster Hit Kottali",non-hate
HATE_2710,AAGA POGIDIKONI SEDA DENGARU ANDARU,hate
HATE_2711,"If there is a condition
An old festival is still in front",non-hate
HATE_2712,EE Vaakhyam RRR LO Ram Charan Jail Scene Dheggara Vaadaru.,non-hate
HATE_2713,Corporate filmmakers like you are unnecessary,hate
HATE_2714,"Paytm Kukkalu Ekkada, idi kuda cbn gare plan chesaru antaremooo",hate
HATE_2715,Mom left a monster kani on us,hate
HATE_2716,The mother of the mother and the mother for power left the sister.,hate
HATE_2717,All of you have been involved in the AP,hate
HATE_2718,Mother and Kuttu have become a side of the state,hate
HATE_2719,Andra Prajalaku Siggu Undali Sontha Amma Nu Chellini Patinchukoleni Vadu Meemanli Chusukuntadu,hate
HATE_2720,"Nice ga side ayaru, mi ru jagon kiladilu",hate
HATE_2721,Eppudaina Mi Putra Ratnam Gurinchi Nijam Cheppandi Vijayamma Gaaru,non-hate
HATE_2722,Amma correct ga cheppaavu mi koduku antha donga ippudaina nammu tally,hate
HATE_2723,"Come to the station on Friday Friday
Put it",non-hate
HATE_2724,Jai Megastar,non-hate
HATE_2725,AAT ..... TATHA ON FIRE,non-hate
HATE_2726,Meeru Super Sir,non-hate
HATE_2727,Jayamu Jayamu Chandranna Jayamu Neeku Chandranna,non-hate
HATE_2728,This is 23… If this is the case,hate
HATE_2729,You are behind you,non-hate
HATE_2730,Ram Entra Babu Intha Andamga Undau Super,non-hate
HATE_2731,Lips thin ga unte baguntundi,non-hate
HATE_2732,Krithi Please Nee Pallaku Clips Veyinchuko Teeth Chala Munadariki Vachay,hate
HATE_2733,"Suma will see if you do it as usual, over -action is high, you are not getting rating,",hate
HATE_2734,"This is my child's life, I could not see its over -action",hate
HATE_2735,Suma em maraledu ade over action,hate
HATE_2736,Cinema Dobbaka aduku tinnanndi eddaru,hate
HATE_2737,Rana garu miru chala simply star,non-hate
HATE_2738,Whenever the blessing of adults like you should be our brother.,non-hate
HATE_2739,Okka Goppa Director Chudadam kantay adrustam em vuntundi mi Ashishishulu tarak sir ki vubdali,non-hate
HATE_2740,E PAATA LO JR NTR NATANIKI DESHAME DAASOHAM AYYINDI,non-hate
HATE_2741,E Okka Song Tho Movie Vere Level Ku Velipoindhi,non-hate
HATE_2742,Please tell someone to make a movie with this golden hill ynTR.,non-hate
HATE_2743,Mee Lantivaalla matalu inspiring ga vuntai… .God blessed us with more knowledge by sent people like you,non-hate
HATE_2744,Devudu manishi kanna goppa,non-hate
HATE_2745,Charan sees ntr ni every time it is found,non-hate
HATE_2746,Pitchi PK Neeku Neemeede Nammakam Ledhu You Only Belive NCB,hate
HATE_2747,Yem matladuthunnav ra? Naralu kattai poiniy neeku lekkalenduku ra ayya? Weekend Politician,hate
HATE_2748,Samsaram Cheyaganey pillalu puttaru sir. Good Result for Wait,hate
HATE_2749,Happy birthday older brother,non-hate
HATE_2750,Happy Birthday to Power Pawan Kalyan Garki,non-hate
HATE_2751,"Yendira Nayana, Yitla Vundi.Power Star Actions Chusthunte Gooseebumps Vasthunayi. India lo all records smash ayela vunnayi.",non-hate
HATE_2752,"Super .... Kalyan Anna, killed Pondi ....",non-hate
HATE_2753,Wow super sir e cinema chla pedda vijayam avvli me fans ki panga chesukovali sir hbd sir,non-hate
HATE_2754,"Adhe Better, Anthe Kaani Life Long Savings One Day Lo Waste Cheykudadhu",non-hate
HATE_2755,Very Great. Very humble,non-hate
HATE_2756,Own party ni yem peeekaleka yevadiki ichhhi vaadi kindha bhanisalaga undatam Meeee Vamsanike,hate
HATE_2757,Blood breed veru. Mental certification kuda,hate
HATE_2758,Adhoka Vamsam ... Veedi Dabbalu Veedu ...,hate
HATE_2759,"E Family Dabba Manuko Vayya Bul Bul
Chala Mandi Ki Records Vunnai Edo Mi Family Goppa Migitha Family
Mi Family Lo NTR Ela Vuntadi Kalyan Ram NV Marav NV MANSHIVA BALAYAVA Ani Antaru Ma Side",hate
HATE_2760,"Orey Jaffa Bul Bul, go and buffalo muddilo muddilo paduko",hate
HATE_2761,Mi Vamaham Mohanbabu Vamaham Tarvathe Ra Sollu Ga,hate
HATE_2762,Ore Sollu apura,hate
HATE_2763,I am a fan of YSR pics .... Vinod Reddy liked it difficult for you to fall for the party ... surely you should be successful ...,non-hate
HATE_2764,Jai Janasena wants to win our party,non-hate
HATE_2765,Annayya Nuvvu Sucess Ayyalani Manasara Korukuntunna IAM from Vizianagaram,non-hate
HATE_2766,All the best Annya Aaa..Ni hard work apudu ki waste kadhu sir jai janasena,non-hate
HATE_2767,Ravaali Pavan ... Jai Janasena,non-hate
HATE_2768,Anna is a bit of a care ... they are thrown from the inside ...,non-hate
HATE_2769,Baga kastapadutunnav Brother Super,non-hate
HATE_2770,Daya Chesi Okka Chance Evvadi Pawan Kalyan Gaariki AM From Banglore,non-hate
HATE_2771,Who would say if the father did not tell the son? There is no wrong. Natural. To the father's father,non-hate
HATE_2772,Ntr ni cm ga chudali.tatayya paruvukosam,non-hate
HATE_2773,Jai NTR Anna Jai ​​Ram Charan Anna,non-hate
HATE_2774,NTR Garu Miru Chala Pedda Artist. Matldalisochinappudu.Thagginchi Matladandi. Adigunapudu Odiguntame Manchidi.,non-hate
HATE_2775,Mamauluga undhadhu mari ntr anthe,non-hate
HATE_2776,I like you in your family ..,non-hate
HATE_2777,BROTHER,non-hate
HATE_2778,"Why do you know me Eatam
Since watching the Veda movie ..",non-hate
HATE_2779,Adhi Ento Nuv Wrong Family Lo Unnavu .. Bro ... Nee Speech Lo Compulsoryga Social Responsibility Untundhi..hats Off to You ..,non-hate
HATE_2780,Bada Bada Bada Directors Never Make Mega Family Ena Following Hero Lena Jai ​​Manoj Anna,non-hate
HATE_2781,Manoj okkade odd man out in Manchi Family,hate
HATE_2782,Manchu Family Ki Inka Respect Undi Ante Adi Only Nee Valle Manoj Anna,non-hate
HATE_2783,Manchu Family NI NVve Kapadali Anna,non-hate
HATE_2784,Manchu Family Paruvu Kapade Manishi Nuvvu Okkade Anna,non-hate
HATE_2785,Nenu Oka Ntr Fan Ga Chepthuna Heart Touchesaru Sir Mee Speech Tho Hats Off Sir,non-hate
HATE_2786,I saw your movie so nice after I said Pawan Kalyan,non-hate
HATE_2787,"Manchi Cinema Ni Prathi Okkaru Aadaristaru, All The Best Nikhil, Have A Bright Future",non-hate
HATE_2788,IPPATI VARAKU PEDDHA Heroes Ki Chinna Actors Kaka Pattaru. Ika Nunchi Pedda Heroes Thodalu Kottada lu Meesaalu Meda Gokkodalu Manesi Chinna Heroes Ki Value IChe Time Vachesindhi,non-hate
HATE_2789,Samudramlo Aagavu Harsha Anna Ki Anna Meeda Prema Chavadi,non-hate
HATE_2790,Harsha Sai Anna in our hearts,non-hate
HATE_2791,NNA NUV Chesina Help Ki Vallaku Edho Oka Chinna Avasaralaku Panikosthundhi Harsha Sai Love You Anna,non-hate
HATE_2792,Anna nee voice ante naku chala istam,non-hate
HATE_2793,Harsha ..! Your minds ... your form is also beautiful ......,non-hate
HATE_2794,Smile chudanidhe venakki thaggavu bro nuvvu,non-hate
HATE_2795,"How many Harsha Sai Fans are there
Here ,. A Man With Golden Heart",non-hate
HATE_2796,Vinayaka Chavithi Subhakanshalu Harsha Sai,non-hate
HATE_2797,Harsha Anna ni kalavaali okkasaraina,non-hate
HATE_2798,Sir Harsha Sai Anna wants God to look cold like you,non-hate
HATE_2799,"Hi Harsha .... Happy Vinayaka Chavithi, Life Long Nuv Happy Ga Undalani ............ AA Devunni Korukuntunna Sai ...... May God Bless U Harsha.",non-hate
HATE_2800,"Hii Bagunnara Harsha Sai Garu Meku. Mee Team Members Ki Happy Vinayaka Chavithi
",non-hate
HATE_2801,Jai Prabhas Anna is a good man of sixties,non-hate
HATE_2802,Santosh Shobhan is a good actor .... Art is not limited to a region,non-hate
HATE_2803,"
Police",non-hate
HATE_2804,Chiranjeevi Be Like: Arey em matladuthunnavra,non-hate
HATE_2805,Pranab Mukherjee's legs as KCR Direct,non-hate
HATE_2806,Evari Cheppulu Moyataniki Prajalu Ninnu Gelipinchaledu .... Bandi ..,hate
HATE_2807,The one who goes there is wearing sandals and over action ...,non-hate
HATE_2808,The work of the stones of the stones after the front eyes should be with others and not slaves,non-hate
HATE_2809,It is okay to do a good job but the same service to my mother who gave birth,non-hate
HATE_2810,"
Guddha is also given to the post of political vultures",non-hate
HATE_2811,"Em Bathuku Ra Nidhi, OKA MP VI STATE President VI, NUV Slippers Moyadam Entra Vedhava, Telangana Ijjath Tisinav",hate
HATE_2812,We have to see them,non-hate
HATE_2813,Most of the videos like this is a friend of friend.,non-hate
HATE_2814,Naku prabhas anna ento rana anna kuda antey,non-hate
HATE_2815,Is there any family that does not have a single remark in industry?,non-hate
HATE_2816,It is great to hear if you sing a song in Telugu,non-hate
HATE_2817,E desham lo anni rajakiya nayakula vigrahalu ilagey padipovali,non-hate
HATE_2818,EE Desham Lo Politians Purugulu Paati Nasinam Kavali,hate
HATE_2819,Kopanathi Krishnamma's statue is pleased with the fall of the people who fell next to the worst men.,non-hate
HATE_2820,"No matter where we are from where we are from nowadays, how much do you grow up to?",non-hate
HATE_2821,Pawan Kalyan Ra Chiraya Sir Vera Leval Jai Balaya,non-hate
HATE_2822,pavitra baga denguchiko naresh tho,hate
HATE_2823,pavitra ni gudda awesome ni age ni figure ki salute,hate
HATE_2824,"Sharwanand came. I thought that in the film Sankranti cinema, I would be a little hero. But I have got a good life and want to be the good future of that God to become a big hero",non-hate
HATE_2825,"The Golden Globe Award for TV 10, which has been broadcasting a great news",non-hate
HATE_2826,Nalla baalu nuvvu evadara jagan anna ni tidava,hate
HATE_2827,Sir you talk the truth very well really bow sir,non-hate
HATE_2828,Konda anna mi attitude ki salute,non-hate
HATE_2829,"Wherever people are black, nala gold is called nala gold, but no red gold",non-hate
HATE_2830,It is a pleasure to introduce your friend even to you at that level,non-hate
HATE_2831,"If we take the ration card, what we do ...
What does the petrol rate increase ...
 8 lakh crores borrowed by what we have ...",non-hate
HATE_2832,"
She's recording dancer in Chilakalurapeta",non-hate
HATE_2833,Sharmila nuvvu ooriki ki poyi record dancelu cheskho,hate
HATE_2834,"Movie Peru 3 Lanjas Samantha, Manchu Vishnu, Swara Bhaskar, Manuch Akka, Anasuya",hate
HATE_2835,Anasuya lavada mokahi 40 ellu aunty anukunda babu annala,hate
HATE_2836,All the free -to -be -selling lenders will do all free of charge the state.,non-hate
HATE_2837,"Ankati Reddy is also sitting in TV studio, Telugu people",non-hate
HATE_2838,Venkat reddy ki buddi pagilindi anudke noru mosukohni vundali,hate
HATE_2839,I do not understand how Ra Raw Viru Reddy was born.,non-hate
HATE_2840,Siggu Vundali Amma Jagan Lanti Erripuk Kanna Anduku,hate
HATE_2841,KCR vadu vadi banda karre muku esjoni ma modi tho ballenge ha,hate
HATE_2842,40 years of political experience,non-hate
HATE_2843,"If Kesineni Nani does not, TDP is going to be. The party is required to do so",non-hate
HATE_2844,They don't really have basic sense !! Do you know ???,non-hate
HATE_2845,Chandrababu is like Lord Shiva .. He also takes poison ...,non-hate
HATE_2846,If you are so tired ..,non-hate
HATE_2847,Rajakeeyanayakulu Kuda Lanjala EY Vellu Party Marutaru Vallu Illu Marutaru,hate
HATE_2848,Kodali Nani Ki Caste Pichi Valla Kulaum Ayithey Pellam Kuda Gift Gah Istharu,hate
HATE_2849,Mamulu ga evvaledhu ga anchor anna,non-hate
HATE_2850,Jai CBN JT SR NTR NENU MI TDP Supporter Na Pranam Istha,non-hate
HATE_2851,Jayadev thought that Kesineni would be good to give Kesineni to CBN .. What is it? Negative Mind Set Burgers,non-hate
HATE_2852,Modi's big drama way is directed behind the artist corporate companies,non-hate
HATE_2853,Heartbreaking ... Advani ... One of the Founder of BJP ... TIME ...,non-hate
HATE_2854,Sitharaman Oka Sudda Pappun Siggu Ledhu Asla MMS Valla India Ela Atani Economic Policy Valle India 3 Trillion Economy Ayindhi,hate
HATE_2855,Nuvvu poyyi modi modi Modi cheku mms oka great econmist ani prapamcham anukondhi antanu lekunte India ledhu,hate
HATE_2856,Edhi Carect Kadu Modhi Garu Papam Kovindh Garini Ala Avamanaparachadam Carect Kadu,hate
HATE_2857,"
DR YNM
1 month ago
We don't have to think big. Everything is glorious. Sonia Gandhi, Modi, Chandrababu Naidu or Pagan ..",non-hate
HATE_2858,Babu has grown up too ...,non-hate
HATE_2859,"If you are not talking about Telugu so well, our little boy is not good in the Bangalore Institute",non-hate
HATE_2860,Sadly he is not an employee and he is not a witness newspaper owner.,non-hate
HATE_2861,Bandi sanjay ni Bandi lo vunna engine,hate
HATE_2862,Rohit Sharma Kulubothu na koduku asia cup kuda tesukorale malla vadini virat lo poluchutaru,hate
HATE_2863,Indian Player Aata Radhu Padhu Semi-Finals Piles Anni Modalo Jabbulu Vachi Odipotaru,hate
HATE_2864,Asla Semi Finals,hate
HATE_2865,Middle Order Marchu Vinnale World Cuo Degindhi Asia Cuo Dengindhi Poyi Gully Circket Adukondi,hate
HATE_2866,Bhuvi Adhey 19th Over Lo Madien Cheasaru Enti Moddalo Srh Key Adhey Ki Maiden Kuda Avasaram Ledhu 19 Runs Ichi Dengi Match Odipincharu,hate
HATE_2867,Such walls will never be taught,non-hate
HATE_2868,"If he is a train crossing in his life, it is a shame of 20 feet away from the train until the year",non-hate
HATE_2869,In life again happened without being so careless ... another 10 people turned to Vidi,non-hate
HATE_2870,The bike should be sentenced to death,hate
HATE_2871,Modi Advani has put a bunch of bakshaku you are now in place of the Prime Minister.,hate
HATE_2872,"Advani did not follow the Ganesi, which means that the fall of Iga has grown up all his party",non-hate
HATE_2873,"
There is a Viguraju there, Abba…",non-hate
HATE_2874,The culture of prayer is the culture,non-hate
HATE_2875,No politician knows more about when the original form is used by the same,non-hate
HATE_2876,"If the BJP is rising today, it has a lot of adventure to work
Modi is like this",non-hate
HATE_2877,"Advani Gar was then insulted by political growth. Kovind, who has now retired, has insulted. Justice Modi.",non-hate
HATE_2878,Love Story Muddulu Kadu Sannivesam Site Ranam Lo Scenes Lo Love Chala Baga Chupicharu Movie,non-hate
HATE_2879,As ekkada grabbed as departed,non-hate
HATE_2880,Where is her mother .. She also left .. As the thieves fled ..,non-hate
HATE_2881,EE Movie Theater Lo Chudakapote Tarwata Mere Feel Avutaru .. Excellent Movie,non-hate
HATE_2882,Bangaram Lanti Wife Failure Kuda Supporting Ga Undi Kani Veedu Vini Veshalu,non-hate
HATE_2883,Arshadeep Ni Asla Enduku Tisukonnario Telidhu Vadiki Simple Catches,hate
HATE_2884,Vijay Shankar Anna 3D Anna Enti Anna Na Lavadio Batting Modalo Feilding Inka No Ball Eesidenagtuavu Nuvvi 3D Enti,hate
HATE_2885,Snow Family Ela Bathukundhi Ante Burdha Pandi Bathukundhi Nenu Bathuthunnanu,hate
HATE_2886,KL Rahul IPL BAGA Adutavu India Ki Moda Laga Adutavu Preity Tho Night,hate
HATE_2887,Preity zinta oka bazzar kukka team tesukovadam kuda radu,hate
HATE_2888,kavya papa circket meda avagahana ledhu ma aubjection dengi mataldutnadhi,hate
HATE_2889,Vijay Mallya Nirav Modi Kapadindhi BJP Malla Ha Baate Shah Gadu Nak Emtelidhu Antaru,hate
HATE_2890,Rey yendhuku ra ... Puri Garu Cheppindhi Okkati ... Miru Chupinchedhi Inkoti .... Rava Annadu Puri Garu Dhani Vere Laga Chepthharu andhuku Ra ...,hate
HATE_2891,Tyson: Rey Puri Inko Sari Ni Mokham Choopistahe Egiri Egiri Dengutha,hate
HATE_2892,"Naarappa theater lo vachedi unde
Motham KCPD untunde",non-hate
HATE_2893,I want to have peace to your soul how to be so virtuous to get such death,non-hate
HATE_2894,"Durjati poet who is one of the octave legends says that you need to unite after death, and after death.",non-hate
HATE_2895,Such people who serve the country will die without pain without pain,non-hate
HATE_2896,"That's ... when the death comes in and what is in the form! Dry leaf from a tree, the air is naturally happening ... life is lost!",non-hate
HATE_2897,The saints ...... his soul should have peace ....,non-hate
HATE_2898,"It is my feeling that it is really super, saints, and die like this.",non-hate
HATE_2899,Bharata Mata flipped into the lap. Thank you Amar Rahe. Again like a soldier like a soldier.,non-hate
HATE_2900,Very lucky. Good people will die like that,non-hate
HATE_2901,"RIP. Sunaayesena Maranam, Chaala Goppa Vyakthi and even abdul kalam died in the same way.",non-hate
HATE_2902,Valla Husband Koda Intha La Thalchukodura Nayana,non-hate
HATE_2903,Sooraj Oka Rapist Malla Sulli Bhai Suport Okati,hate
HATE_2904,Jihah Khan Sucide Ki Karanam Sooraj Altanchdi Sulli Bhai Mafia Support Free,hate
HATE_2905,Sooraj Inka Valla Daddy Oka Rapist Rapist Family Gudda Mi Dabbulu Valla Safe Malla Modi Give,hate
HATE_2906,Liger Movi is good for the hero's stutter,non-hate
HATE_2907,Tega Feel Ayitunnadu Adhe Vere Hero Ayithe Notikochinattu Vaagutunde,non-hate
HATE_2908,Anna ni fan nenu evi niki anavaram,non-hate
HATE_2909,Vd gudda mi ekkuva attidude andheukey movie assam ki dengindhi,hate
HATE_2910,Ore Teenmar Mallanna pedda thopula feel kaku,non-hate
HATE_2911,Mundhu nuv e cinemala gurinchi apu ayya ... nduku niku respect Ivaniki radhu .. m radhu,non-hate
HATE_2912,"Flop Ante Eante Bayya
Neku thilusa
Nuvvu thisava movie
Nuvvu Produce Chesava
Nuvvu chusava
Ne abba
Nuvvu Chudara Movie First",non-hate
HATE_2913,"The only CM who criticizes other people, not by the rule of the CM in India",non-hate
HATE_2914,KCR Niku Baga Ekkuva Ayidhi Anni Moukni CM Avvu Next Karre Mukku Ki CM Endhuku Ra Lanje Boss,hate
HATE_2915,Basavaraj Oka Daridurudu Hindu Ante Challu Vadu Rapist Ayina Parle Vadithine Kapuran Chestharu,hate
HATE_2916,Modi ki cheepu neku oka yogi ante chaalu nee vuncha kuda tagutaru,hate
HATE_2917,Shameless Chief Minister in this Duniya Sir KCR,hate
HATE_2918,You have heard your words that you have no commonsense,non-hate
HATE_2919,"That is, the poor should not be lectured and he is the chief minister of over 30 crore people.",non-hate
HATE_2920,Uncle Uncle Yogi Do Uncle Van Turns out,non-hate
HATE_2921,SIR is with whom you but don't want to be with yogi gary,non-hate
HATE_2922,Pragya Thakur Oka Dogga Baba Dani Endhuku MP Ayindho Telidhu Pichipuk Janalu Andhey North India Ala Vundhi,hate
HATE_2923,The teacher is the teacher who is right in saying the truth of whatever you think,non-hate
HATE_2924,Changing society means that some of your prophecies are very difficult to change some if you are a teacher,non-hate
HATE_2925,"Like Sri Rama Chandra and Harishchandra, they are not Smuggler's. You are the original hero teacher.",non-hate
HATE_2926,"You are protecting and promoting virtue with your prophecies, you are a true guide to India.
Greetings to you.",hate
HATE_2927,"Guru Gary has been meant to be
You are doing it sincerely",non-hate
HATE_2928,Wash you society! I am sad.,non-hate
HATE_2929,Garikapati Narasimha Rao is very happy to receive the Padma Shri award. His lecture is ideal for the youth of India. Manasara wants him to receive more respect ... salutations.,non-hate
HATE_2930,Garikapatti they say the truth,non-hate
HATE_2931,Gargapatti is well said ... Highlighting evil is followed by young people quickly and they are bad for society,non-hate
HATE_2932,"Most of the YouTube channels are promoting your opinion. If they read the comments under them, they will be referred to. Anyway, if you think, they can have the same effect on their wife and children. Finally, the Buddhi says…",non-hate
HATE_2933,Sonam kapoor ni rape nadhi road o vadhileyala,hate
HATE_2934,Alia bhatt cheshe overaction ki hatsoff,non-hate
HATE_2935,First Koja Johar Ni India Nunchi Tarmidengithe Sangam Pedha Pothadhi,hate
HATE_2936,I also agree with Garika Patigari,non-hate
HATE_2937,Alsa Janalu Erripuk Galu Jagan Ni CM Cheyadam Enti,hate
HATE_2938,"Even if I am a Vice -Vaisarci Party activist, I speak to the Center on behalf of the Center on behalf of the Telugu states",non-hate
HATE_2939,A little more commented …… but the truth is the same…,non-hate
HATE_2940,That money is also our chief minister,non-hate
HATE_2941,Simply concluded that the technical problems are O.,non-hate
HATE_2942,"Leaders made by Bala Yogi, Arram Naidu and Lalzan Basha",non-hate
HATE_2943,Chandrababu Naidu's name can not be done but if Jagan says the name,non-hate
HATE_2944,"If you get another cheek blow again, you will not be mindful",non-hate
HATE_2945,"If he contests the ward number, he will not win the ward number, Chandrababu Naidu targeted the cheeks in Telangana",non-hate
HATE_2946,pichi lanjakodukuvi chandra babu kali gotiki saripovu,hate
HATE_2947,Hero Ni Baga Encourage Chestundi Papa ....,non-hate
HATE_2948,100 CR CHERALANTE 500 Cr Petti Movie Thiyyali,non-hate
HATE_2949,You will arrive in the 10 lakh club someday ....,non-hate
HATE_2950,Acting Super Undhi Ga Bro Just Story Lo Dammu LEDH,non-hate
HATE_2951,Anusya Potti Potti Dress esukoni Expose Chesthe Hot Rape Sexy Fogure Comments Tappa em Vasthaai,hate
HATE_2952,Avnu Anna Watching Videos Now,non-hate
HATE_2953,They are eating with ticket money,non-hate
HATE_2954,"Enti Villu EE Cinema Ni Oka Bahubali, kgf kante ekkuva uhinchukuntunattu unnaru..papam .. Picchi Vedava",non-hate
HATE_2955,ILA extras cheyadam. Cinema Ki Karchu Pettam So People Should Pay 450/- Antaaru.,non-hate
HATE_2956,"Cinema Karchulakantey, EE karchule ekkuva papam producers ki",non-hate
HATE_2957,Mana paisal tovallu njoy chestunnaru mundu manaki buddiledu,hate
HATE_2958,Pony Andhra Pradesh Separate Currency Note Petty Notes,non-hate
HATE_2959,Chose this intelligent Chief Minister,non-hate
HATE_2960,Basavraj Oka Rapist Gadini Support Chesthunnadu Endhuku Vadu Brahmin Kabati,hate
HATE_2961,Himanata Asala Siggu Ledhu Kerjiwal Lanti Valla Pettukovadaniki,hate
HATE_2962,Ano is also a mission to us. Let's be washed,non-hate
HATE_2963,Jagan amma vadi dabbulu pettali nanna gudda lo nunchi leppali,hate
HATE_2964,Anna ..... let's buy a machine ... let us punch ....,non-hate
HATE_2965,Anna ... Give each mission to each other ....,non-hate
