S.No,translated_texts,Label,telugu_texts
HATE_3238,Manu Garu Meru Involve avakandi chala chiraku ga vuntundhi,hate,Manu garu meru involve avvakandi chala chiraku ga vuntundhi
HATE_3239,The younger brother Rashmi also came to your song,non-hate,??????? ????? ???? ?? ??? ?? ?????? ???????
HATE_3240,Annaiah Ani Sarlu Vinna Vinnali Anipistundi Annaiah NI Songs,non-hate,Annaiah Ani sarlu vinna vinnali anipistundi annaiah ni songs
HATE_3241,NV Enjoy chestu bale padavu,non-hate,Nv enjoy chestu bale padavu
HATE_3242,Enti Bhaya Ala Shock ichav Ammaikudu LA UNDE VADIVI,non-hate,Enti bhaya ala shock ichav ammaikudu la unde vadivi
HATE_3243,Trolls chese vallaki pandage e video tho,non-hate,Trolls chese vallaki pandage e video tho
HATE_3244,Ma sudheer anna ekkadunte akkade navvulu,non-hate,Ma sudheer anna ekkadunte akkade navvulu
HATE_3245,Late Iena Parlaydhu Movie Mamuluga Vundakudadhu Movie,non-hate,Late iena parlaydhu movie mamuluga vundakudadhu movie
HATE_3246,Mangli Enni Songs Padi Peruthechukundho Valla Sister,non-hate,Mangli enni songs padi peruthechukundho valla sister ee okka song tho antha Peruthechukundhi you success continue like this sister
HATE_3247,Vedoka pulkagadu vinikanna prakash raj better,hate,Vedoka pulkagadu vinikanna Prakash Raj better
HATE_3248,"Ramesh Master Dance Practice Super, this is the method",non-hate,"????? ??????? ???????? ?????????? ?????, ??? ??????"
HATE_3249,Yevaru e mogudu vadilesina pativratha? !!,hate,Yevaru e mogudu vadilesina pativratha ?!! 
HATE_3250,What do you do?,hate,?? ????? ???? ?????? ?? ????? ????????
HATE_3251,Ni batuku yente,hate,Ni batuku yente
HATE_3252,Veedi maatalaku yentha mandi kodathaaru veeni,hate,Veedi maatalaku yentha mandi kodathaaru veeni
HATE_3253,Karma ra Swami,hate,Karma ra Swami
HATE_3254,"Naaku Okasari Pisakalani Undi, APSOMMULU TINI.Telangana Lo Pisikinchukuntunnaru",hate,"Naaku okasari pisakalani undi, APsommullu tini.telangana lo pisikinchukuntunnaru"
HATE_3255,Chi Yentra Makikarma,hate,Chi yentra makikarma
HATE_3256,Moddakuduv,hate,Moddakuduv
HATE_3257,"Apande ra Me Ranku Veshalu, Me Kullu Comedy",hate,"Apande ra me ranku veshalu, me kullu comedy"
HATE_3258,"Mee chatha face llu
Mee kullu comedy tu",hate,"Mee chatha face llu 
Mee kullu comedy tu"
HATE_3259,Chachi urukuntav .... anni thaguthe,hate,Chachi urukuntav....anni thaguthe
HATE_3260,Indian Michael Jackson Prabhu Deva,non-hate,??????? ?????? ??????? ????????? ????
HATE_3261,Telugu Tamil Industry La Ki Break Dance Nerpindhe Prabhudeva..Meru Evergreen Dancer Sir,non-hate,Telugu tamil industry la ki break dance nerpindhe prabhudeva..meru evergreen dancer sir
HATE_3262,Idhi Dance Ante Super Anna Nee Daggara Evaraina Sariporu Mee Vantilo Undhi,non-hate,Idhi dance ante super anna nee daggara evaraina sariporu mee vantilo undhi
HATE_3263,Hema Kuturu Chala Chala Baguntadi Chala Suma Show Lo Chusanu,non-hate,Hema kuturu chala chala baguntadi chala suma show lo chusanu
HATE_3264,Panikimalina,hate,Panikimalina
HATE_3265,Deeniki doolekkuva kovvu baga patti unnadi,hate,Deeniki doolekkuva kovvu baga patti unnadi
HATE_3266,Ranku mundalu meru antha,hate,Ranku mundalu meru antha
HATE_3267,You can go home and see you,hate,?????? ???? ?????? ?????? ?????? ???? ???? ?????????
HATE_3268,Pakkode meda pade edvadam tappa inkem radhu vedeki,hate,Pakkode meda pade edvadam tappa inkem radhu vedeki
HATE_3269,Veedu Aadi Gaadu Maaradu Veediki Stage Cleaning Pani Ivvandi,hate,Veedu aadi gaadu maaradu veediki stage cleaning pani ivvandi
HATE_3270,Aree Aadi Entra Ni Balupu ... Koncam Siggu Emina Unda,hate,Aree aadi entra ni balupu... Koncam siggu emaina unda
HATE_3271,Arey Cheppu tho kodatha,hate,Arey cheppu tho kodatha
HATE_3272,Nee Video Chusanu Bagundi Vishnu,non-hate,Nee video chusanu bagundi vishnu
HATE_3273,Kallu dengaya bro,hate,Kallu dengaya broo
HATE_3274,Pulihora Raja Gadu .. Appudu Choosina Ladies Tho Pulihora Kaluputhu Untadi .. Niku Vere Pani Leda .. Anni Overaction Video lu Chestadu ..,hate,Pulihora raja gadu.. appudu choosina ladies tho pulihora kaluputhu untadi.. niku vere pani leda .. anni overaction video lu chestadu ..
HATE_3275,Ekkuva seyaku inka chalu,hate,Ekkuva seyaku inka chalu
HATE_3276,Kama kukka,hate,Kama kukka
HATE_3277,Audience Be Like:- Bengu! Athi Bengaku,hate,Audience be like :- Bengu ! Athi bengaku
HATE_3278,Charan Cute Cute Expressins Chala Bagunnadu,non-hate,Charan cute cute expressins  chala bagunnadu
HATE_3279,Migataa Pannendu Gantalu Bathrooms Clean Cheskuntavara Dyper Aadhi,hate,Migataa pannendu gantalu bathrooms clean cheskuntavara dyper aadhi
HATE_3280,Eetv lekapote adukku tine vallu,hate,Eetv lekapote adukku tine vallu
HATE_3281,"Ari Pulka Family Chusi Videos AA EVI
Control words",hate,"Ari pulka family chusi videos aa evi
Control words"
HATE_3282,NAG GARU CHAITANAYA So Beautiful. Very nice our favorite heroes,non-hate,Nag garu chaitanya so beautiful.  ???? ?????????? ?? ?????? ??????
HATE_3283,Gunturodi Yetakaram Ante Itlane Untadi Mari,non-hate,Gunturodi yetakaram ante itlane untadi mari 
HATE_3284,That's all our Prabhas' fellow,non-hate,????????? ?? ??????? ???? ???? ?????? ??? ????
HATE_3285,"OK Andi Mari Vallu Sampadinchukovadanike Ga, Vallu Hero Avadanike Ga, Maku 3 OR 4 Avutundi Office Nundi Camp Nundi Ravadaniki Adi Ma",non-hate,"Ok Andi Mari vallu sampadinchukovadanike ga ,vallu hero avadanike ga , maku 3 or 4 avutundi office nundi camp nundi ravadaniki  adi ma family kosam andaru ante, javan lanti valla to manakenti polika"
HATE_3286,Who has come to this full of evida,hate,???? ???? ?? ???? ?????? ?????????? ????
HATE_3287,Akka Niku Ekkuva Inda Endi ... Mata Sariga Ratle,hate,Akka niku ekkuva inda endi...mata sariga ratle
HATE_3288,Meeru Moosukunte Baguntadi,hate,Meeru moosukunte baguntadi
HATE_3289,Guvva Balupu Bagundhe Niku,hate,Guvva Balupu bagundhe niku
HATE_3290,Super cute paired God Bless You,non-hate,Super cute ???? God bless ??
HATE_3291,So much transformation in Srimukhi. Very Good Anchoring ...,non-hate,So much transformation in ????????.  Very good anchoring...
HATE_3292,Chala Manchi Singer But Win Avvaladu But He Will Reach His Success,non-hate,Chala manchi singer  but win avvaladu but he will reach his success
HATE_3293,Deeni Over Ackshan Ekkuva Aeaendi Chitra Gari Voice Kanti Emi Baga Lydu Avidaaa Chala Paddathi ga untaru,hate,Deeni over ackshan ekkuva aiendi Chitra gari voice kanty emi baga lydu avidaaa chala paddathi ga untaru
HATE_3294,"Dabulu iste adi padindi
Dabulu iste villu act chesaru
Lavadaga laga undi set kaledu",hate,"Dabulu iste adi padindi
Dabulu iste villu act chesaru
Lavadaga laga undi set kaledu"
HATE_3295,E Bogada Aadi Gadu Unte Show Sanka Nakinatte,hate,E bogada aadi gadu unte show sanka nakinatte
HATE_3296,Amma Pai Joke Enty Raaa ..... Avulagallraa,hate,Amma pai joke enty raaa..... Avulagallraa
HATE_3297,Tokka Jokes,hate,Tokka jokes
HATE_3298,Adhi nuv ekkuvachaiku ra kojja,hate,Adhi nuv ekkuvachaiku ra kojja
HATE_3299,Pilla puk comedy,hate,Pilla puk comedy
HATE_3300,Chala worst ga undi,hate,Chala worst ga undi
HATE_3301,Modda lo comedy,hate,Modda lo comedy
HATE_3302,Specs teyi ra yedava,hate,Specs teyi ra yedava
HATE_3303,Amma Anaadhi .. Inkokadu Vastunaadu Antaadhi .. Nee Bongulo Comedy Nuvu,hate,Amma anaadhi.. inkokadu vastunaadu antaadhi.. nee bongulo comedy nuvu
HATE_3304,The mouth is mui. He is the administration of the administration ... that's it.,hate,???? ????. ???? ???????? ??????? ??????? ????... ????.
HATE_3305,Similar Veda works,hate,?????? ???? ????? ??????
HATE_3306,INNI rojulaki veedni correct ga dengaruuu,hate,Inni rojulaki veedni correct ga dengaruuu
HATE_3307,Sollu nayala,hate,Sollu nayala
HATE_3308,Vidu vidi kullu jokulu thuuu,hate,Vidu vidi Kullu jokulu thuuuu
HATE_3309,Reyyy Houleee Chaduvu Meedha Jokulu Comant Cheyyakuuu ... .. Daridrudaaa,hate,Reyyy houleee chaduvu meedha jokulu coment cheyyakuuu... .. Daridrudaaa
HATE_3310,Ayithe poyi master gaadi modda guduvu,hate,Ayithe poyi master gaadi modda guduvu
HATE_3311,Orey adhiga guddha mue,hate,Orey adhiga guddha mue
HATE_3312,NUV Velli Vani Solla Cheeku Aithe,hate,Nuv velli vani solla cheeku aithe
HATE_3313,"God Bless Your Relation Madam, Jai Sudhir Anna",non-hate,"God bless your relation madam, ?? ?????? ????"
HATE_3314,Sudheer praised many times if you were praising Sudheer yesterday,hate,?????? ?????? ?? ????? ?????????? ????? ????? ?????? ??????????? ???????? ????? ?? ?????
HATE_3315,Nin Sutee seems to be killing you,hate,???? ???? ?????? ?????? ??? ??????????? ?????????????? ??
HATE_3316,What is the dance?,hate,???? ??????????? ?????? ???????
HATE_3317,"Nattu ga, neku manishiki undalsina lakshanam okkati kooda ledhu kadha ra.",hate,"Nattu ga , neku manishiki undalsina lakshanam okkati kooda ledhu kadha ra."
HATE_3318,Put this word. Put this courage.,non-hate,? ??? ????. ? ?????? ????. 
HATE_3319,Celebrities like this should come to Shushh,non-hate,?????? ??????????? ??? ???? ?? ?????? sir
HATE_3320,Telugu Tejam is similar medals. We want to bring it yet,non-hate,?????? ???? ?????? ??????? . ???? ???????? ??????? ???????????????
HATE_3321,Etuvanti Interviews Kadhaa Manaki Kavalsinavi,non-hate,Etuvanti interviews kadhaa manaki kavalsinavi
HATE_3322,ILANTIVI KAADHA EE Generation Ki Inspiring Untadhi ... Plz Do More,non-hate,Ilantivi kaadha ee generation ki inspiring untadhi...plz do more
HATE_3323,Superb Ma,non-hate,Superb ??
HATE_3324,Bagunnavu Chai and Pallavi,non-hate,Bagunnavu chai and pallavi
HATE_3325,Nv ni mokam,hate,Nv ni mokam
HATE_3326,This face looks like a nuck very chirak,hate,? ???? ?????? ??? ???? ????? ?? ????????????
HATE_3327,DENNI Chusina Prati Sari Naku Penta Kurchunna Feeling Vastandi,hate,Deenni chusina prati sari naku penta kurchunna feeling vastandi 
HATE_3328,Nikhil you are super paired poetry,non-hate,?????? ???? ????? ???? ?????
HATE_3329,Kavya is very innocent.,non-hate,Kavya ???? ??????????.
HATE_3330,Whether its flower is hitting your lemon ..,hate,???? ?????? ????????? ???? ???? ???? ?? ???????? ???????..
HATE_3331,Erripukulu,hate,Erripukulu
HATE_3332,"How are you so beautiful
Your voice is like you too beautiful",non-hate,"??? ?????? ??? ???? ????
?????? ?? ????? ???? ??? ?????? ????"
HATE_3333,Chala Chala Bagunnav and nee voice kuda,non-hate,Chala chala bagunnav and nee voice kuda
HATE_3334,Patakanna Manishi Bavundi,non-hate,Patakanna manishi bavundi
HATE_3335,Abbo Iragadesindi Song VERE LEVEL,non-hate,Abbo iragadesindi song vere level
HATE_3336,Modda Gudisipotav Bollywood Content Lami Movies Tistey,hate,Modda gudisipotav bollywood content lamti movies tistey
HATE_3337,Thu vedu mokam tagaletta,hate,Thu vedu mokam tagaletta
HATE_3338,Really you are the heroine la,non-hate,?????? ???? ???????? ?? ???????
HATE_3339,Comedy King Brahmi,non-hate,?????? ????? ??????? ????
HATE_3340,Brahmi ekkada unteee akkada comedyy,non-hate,Brahmi ekkada untee akkada comedyy
HATE_3341,"Brahmi Software Engineer, I Love You Brahma SIR",non-hate,"??????? ?????????? ???????, ? ??? ?? ?????? sir "
HATE_3342,Sir malli meeru industry ki ravalai sir,non-hate,Sir malli meeru industry ki ravalai sir
HATE_3343,Megastar Chiranjeevi Garu Hatsoff to You,non-hate,???? ????????? ??????????? ?????????? ???????? ???? ?????????? ?? ?? ???????
HATE_3344,Mother's father's upbringing should be so nice to be hi namaste,non-hate,????? ??????? ?????? ??? ?????? ???? ?????? ???? ???? ???????
HATE_3345,It is our tradition that is very good to put on to others,non-hate,??? ??????? ?????? ??????? ???? ??????? ??? ?? ????????? ????
HATE_3346,Nu thopu director anna,non-hate,Nu thopu director anna
HATE_3347,Theatre Records as Pan India Movie,non-hate,???????? ???????? ???? ?????? ???? ?? ?????? ?????????? ????? ???????????
HATE_3348,Theater Lo Chusi Masth Enjoyed,non-hate,Theatre lo chusi masth enjoyed
HATE_3349,Avinash Manchodu Bro Episode Mottham Cholate Just Nagababu says that Bro episode lo ...,non-hate,Avinash ?????? ???? episode mottham choodu just ??????? ????? ???????? ???? ???? episode lo...
HATE_3350,That sins are great .. But that soldier patience is also great ....,non-hate, ? ??? ????? ???????.. ???? ? soldier ???? ???? ???????.... 
HATE_3351,And the patience of the soldier,non-hate,??? ???????? ????
HATE_3352,Iddaru Same Dress Try Cheyandi,non-hate, Iddaru same dress try cheyandi 
HATE_3353, Why do you do the TRS bhajan?,hate," ???? ?????? ???? ???? ??? ??????, ?????? ????? ?????????? ???? ?????? ?????? ???????? ??? ???????????? ??? "
HATE_3354,Nuvu Chepu Ra Lakadikapul Dubai Ki Yenduku Vlado Donga Malligadu,hate, Nuvu chepu ra lakadikapul Dubai ki yenduku velado donga malligadu 
HATE_3355,Okka KCR Thappa Vere Party Vallaki Amathram Chepparu E Thenmar,non-hate, Okka kcr thappa vere party vallaki amathram chepparu e thenmar 
HATE_3356,NVVU First E Channel Dheni Kosam Pettinav KCR KOSAMA Peoples Ki Emina Prayojanam,hate, Nvvu first e channel dheni kosam pettinav kcr kosama peoples ki emaina prayojanam vundhara entha sepu kcr sanka nakuthunnav 
HATE_3357,Arey Nuvu Poyyi KCR Gandhi Naku Ra. Manchiga matladithey memu kuda manchiga matladtham.,hate, Arey Nuvu poyyi KCR gandhi Naku ra. Manchiga matladithey memu kuda manchiga matladtham. 
HATE_3358,Arey Shankar ga nvvu kcr sanka nakaku ra,non-hate, arey shankar ga nvvu kcr sanka nakaku ra 
HATE_3359,"Idhi kadha ... kavalsidhi ...
Jai KCR",non-hate,"Idhi kadha ...kavalsidhi...
Jai kcr"
HATE_3360,Rey FIRST Education Health,non-hate,Rey first education health free ivvu racountry m cheddam anukuntunnav ra telangana katham chesina
HATE_3361,"ondarga sachipora taagubothu KCR
Talangana ki pattina daridram potadi",hate,"ondarga sachipora taagubothu KCR
Talangana ki pattina daridram potadi"
HATE_3362,Shankar Rao Jara Ni Ni What is Talking By Your Kamanna Journalism Values,non-hate, ????? ????  ?? ?? ??? ???? ??  ?? ???????????????? ?? ?????? ???????? ??????? ?????? ?????????? ??? ?????? ??? 
HATE_3363,You all know that the mistress,non-hate, ?????? ???? ????????????? ??????? ????????? 
HATE_3364,You are Terasa Party ..,non-hate, ?????? ????? ?????? ..?????? ??????? ??? ?? ?????? 
HATE_3365,Anna Samskaram Undali Konchama Manishiga Puttinappudu. Sampadhinchali ante elagaina sampadhinchochu kaani lani bhaashani janalaku nerputhu kaadhu.,non-hate, Anna samskaram undali koncham manishiga puttinappudu. Sampadhinchali ante elagaina sampadhinchochu kaani ilanti bhaashani janalaku nerputhu kaadhu. 
HATE_3366,Telangana honor in front of Gujarati Tadipar Pads .. !!,non-hate, ??????? ????????? ??????? ???????? ????  ????? ????? ????? ?????..!! 
HATE_3367,Veedu Gelisthe Telangana People Dhi Kuda Adhe Situation,non-hate,Veedu gelisthe telangana people dhi kuda adhe situation
HATE_3368,Dinikanna Sigguchetu Inkoti Ondadhu Mery ma CM Anni Telangana pattina peedha,hate, Dinikanna sigguchetu inkoti oundadhu  mery ma cm anni telangana pattina peedha
HATE_3369,Thappem Ledu Cheppulu Andisthe ... Oka IAS CM Kaallu Mokkithene Anni Muskoni Unna Meeku Idla Thappuga anipisthundi ..,non-hate, Thappem ledu cheppulu andisthe...oka IAS CM kaallu mokkithene anni muskoni unna meeku idela thappuga anipisthundi.. 
HATE_3370,KCR Appu Inka Akkuva Chesadu Kada Adhi Cheppu Mari,non-hate, Kcr appu inka akkuva chesadu kada adhi cheppu mari 
HATE_3371,First Telangana Gurunchi Edvu Jai BJP,non-hate, First telangana gurunchi edvu  jai bjp 
HATE_3372,Orey Nuvvu TRS Ki Anthaki Ammudu Poyavu Ra Niku Antha Echaru Ra TRS Party Valli,non-hate, Orey  nuvvu trs Ki anthaki ammudu poyavu ra Niku Antha echaru ra TRS party Valli 
HATE_3373,KCR GADU EM PIKINDO CHEPPU RA SHANKA R,hate, Kcr gadu em pikindo cheppu ra shanka  r
HATE_3374,KCR ke potenava nebathuku,hate, Kcr ke potenava ne Bathuku 
HATE_3375,U r the brokar in the party of TRS,hate, U r the brokar in the party of trs 
HATE_3376,Arey r â€‹â€‹Entha Echchadu ra neku,non-hate, Arey r entha echchadu ra neeku 
HATE_3377,nuvvu poyi ktr gudda naku jai bjp,hate,nuvvu poyi ktr gudda naku jai bjp
HATE_3378,Nuvvu Dorikithe Thantharu Pattukoni Evariki Kanabadaku,non-hate, Nuvvu dorikithe than thantharu pattukoni evariki kanabadaku 
HATE_3379,Good bro mari 400000 kotla appu chesina telangana gurinchi ndhuk matladav,non-hate, Good bro mari 400000 kotla appu chesina telangana gurinchi ndhuk matladav 
HATE_3380,Kaleshwaram Paristhiti Anti Bayaa,non-hate, Kaleshwaram paristhiti anti bayaa 
HATE_3381,Are O Nuvvu Sollu Aapu Thammi,non-hate, Are o nuvvu sollu aapu thammi 
HATE_3382,Modi to KCR: Ey Ley Pilla Bacha Nayala,hate,modi to kcr : ey ley pilla bacha nayala
HATE_3383,Telangana Prabutvam Entha Cheasindo Chepav Mari,non-hate, Telangana prabutvam entha cheasindo chepav mari 
HATE_3384,Niku KCR ECHE SALARY KUDA MEM PAY CHESE TAX EE,non-hate, Niku kcr eche salary kuda mem pay chese tax ee 
HATE_3385,Farmer needs a relative but to be given to under 5 acres,non-hate, ???? ???? ?????? ???? 5 ????? ???? ?????????? ??????? 
HATE_3386," If the farmer's bandh is a benefit to anyone, if anyone has a land, you will benefit from your broker journalism",non-hate," ???? ???? ???? ?????? ??????  ????, ?????? ????? ???? ???? ?????? ???? ????, ?????? ?? ???????  ???????? "
HATE_3387,"Mr. Bandi Before the original 2019, how much is your property ..",non-hate, Mr. Bandi ???? 2019 ?? ????? ?? ????? ??? ??????? ?? ????? ???.. 
HATE_3388,Arey babu asalu nuvu telangana lo m adikaram undi matladaniki,non-hate, Arey babu asalu nuvu telangana lo m adikaram undhi ra matladaniki 
HATE_3389,Manchi Vishayam Telusukunam Sir Dhanyavadalu,non-hate, Manchi vishayam telusukunam sir dhanyavadalu 
HATE_3390,No one can stop becoming the Chief Minister of RSP in Telangana state.,non-hate, ??????? ???????? ?? rsp ???? ??????????? ?????? ?????? ??????. 
HATE_3391,shankar ninnu bjp kukka kottinattu kodutaru,hate,shankar ninnu bjp kukka kottinattu kodutaru
HATE_3392,Do you know how security a minister has ... How much security is to escape security and kill the common man ...,non-hate, ?????? ?????? ??????.... ?? ???????? ??? ?????????? ??????? ??????... ??? ???? ?????????? ?? ???????????? ?????????? ???????? ???? ?????? ???????.....???????? ???????????? ? ?????????? ??? ????? ???????? ?????? ?????? ????????????... 
HATE_3393,KCR KTR CHANCHI POVali Anni Black Magic Chesthunna Jai â€‹â€‹BJP,hate,kcr  ktr chanchi povali anni black magic chesthunna jai bjp
HATE_3394,Arai Babu Nee News is in favor of the TRS party ...,non-hate, ????? ???? ?? ?????? ?????? TRS ???????? ????????? ??????... 
HATE_3395,Raghu. Mallanna is doing the world ..,non-hate, ???. ??????? ?? ???? ???????? ????????????..  ?? ???? ??????.. 
HATE_3396,Arey Shankar Lanti Lucha Galani Namadhu Vadu TRS Kukka,hate,Arey shankar lanti lucha galani namadhu vadu trs kukka
HATE_3397,Valla kosam ne life risk chesukoku,non-hate, Valla kosam ne Life risk chesukoku 
HATE_3398," Police Vallu Cheppindi Antha Nijamena, Poorti Enquiry Ayina Tharavatha Nuvvu Vallanu Criminals Ani Cheppu Brother.",non-hate," Police vallu cheppindi antha nijamena, poorthi enquiry ayina tharavatha nuvvu vallanu criminals Ani cheppu brother. "
HATE_3399,Neeku KCR and KTR Gaadu Bichamesthundara,hate,Neeku KCR and KTR gaadu bichamesthundara
HATE_3400,Witness,non-hate,?????? ?????? ???????? care of address
HATE_3401,Enough to say that it is completely not to say that,non-hate,???????? ???????? ??????????? ??????? ??
HATE_3402,There is only one truth ... Life smoothly sang outside .. Why do they have opportunities ..,non-hate,?????? ???? ???? ????... ???? ?????? ??????????? ??? ??????.. ?????? ???? ??????? ???????? ??????? ???????..
HATE_3403,"That is, the biggest speeches that are the biggest poverty, the mother of Kalama, in the words of respect, lusty eyes, Chandalam's mind, the only system in the body of the disease,",hate,"?????? ????? ???????, ?????? ????? ???? ????? ??? ????? ????? ???????? ????????, ????? ??????? , ???? ??????, ?????? ????????, ???? ??????? ???? ??? ?? ???????, "
HATE_3404,You can't buy people like your child,non-hate,???? ?????? ???? ???? ?? ?????????? ?????? ??????
HATE_3405,What you are doing is hard to do it.,non-hate,?????? ?? ???? ????? ???? ???????? ?? ???????? ???????.
HATE_3406,Na ayya somma aa paisalu. Ma Daggara Ni Dengesina Babbulu Avi Emanna Kontav,hate,Na ayya somma aa paisalu. Ma daggara ni dengesina babbulu avi  emanna kontav
HATE_3407,KCR NIVI ANNI DONGAA Mataalu Dongaa Buddulu,hate,KCR nivi Anni dongaa mataalu dongaa buddulu
HATE_3408,Anna Chahalla Chinna pilla e ammaini inthaalaa torcher cheesthunnaru. Mee pillalanuu elaghe chesthey elaaa untadhi annadhi meruu ardham chesukondi. Inkaaa Meruu Elaghee Chesthanuui antay devuduuu meeku thaghinaa mulyam chellisthaduuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuted. Nijangaa Aaa Thirupathi Venkteshwarlu Swamy untay mekuu emikakundaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahe,non-hate,Anna challa chinna pilla e ammaini inthaalaa torcher chesthunnaru. Mee pillalanuu elaghe chesthey elaaa untadhi annadhi meruu ardham chesukondi. Inkaaa meruu elagheee chesthanuui antay devuduuu meeku thaghinaa mulyam chellisthaduuu. Nijangaa aaa Thirupathi venkteshwarlu swamy untay mekuu emikakundaaa me minduu mi family lu kulipovalani korukuntunna from telangan
HATE_3409,"Shame is not ashamed to troll a little child, donkey ....... even young children for politics",non-hate,"?????? ?????? ?? ????? ??????? troll ?????????, ?????.......???????? ???? ????? ???????? ???? ??????? ?? ?? ???????"
HATE_3410,Do you eat rice to the stomach ... to imitate the little boy,hate,??????? ????? ??????????? ????? ???????????...?????? ??????  ????? ??????? ??????? ???????????
HATE_3411,Anil or Voice met me somewhere .... Released words ...,non-hate,????? ???? ?????? ????? ???? ?????? ?????.... ???? ???? ?????...?????? ? ?????
HATE_3412,If the comedians are ministers like this,non-hate,?????????? ?????????????? ????? ???????
HATE_3413,"Ambati said well, and the three dates said before. You are great.",non-hate,"????? ???? ???? ????????, ????? ??????? ???????? ????????? ??????? ?????? ????????. ?????? ?????????? ????."
HATE_3414,You have a hundred namaskars Ra babu,non-hate,???? ??? ?????????? ?? ????
HATE_3415,"Rambabu said.
Time is not time to say that it is not, it is very sarcastic.",non-hate,"??????? ???? ??????? ? ????????.
?????? ???? ??? ?????????? ???????? ???????? ???? ???? ?????????.??? ???? ??????? ?????????????."
HATE_3416,Parsant ... Araparshanta..Tonda .. Why ... Slowly ... Dukuta,non-hate,???????...????????..?????.. ????????...????????...?????
HATE_3417,Devudu Anna Padham Chala Strong Feeling Confident NII ISTUNDH,non-hate,Devudu anna padham chala strong feeling confident nii istundh
HATE_3418,"The younger brother of the younger brother, poker poker ...
Boy friend, bar friend, bottle friend.",hate,"??????? ???????, ????? ?????? ???????? ??????? ????? ???????...
Boy friend, bar friend, bottle friend ??? ??????? ??????, ????? ?????????."
HATE_3419,Charmie completely looked like another LA to me,hate,?????? ???????? ?????? ???? ???? la ???????????
HATE_3420,Taitakku also has a big bag.,non-hate,???????? ???? ????? ????? ??????? ???.
HATE_3421,Poyi Poyi Bollywood Vaalatho Kalisi Theesthey Ilaane Vuntundi ..,hate,Poyi poyi Bollywood vaalatho kalisi theesthey ilaane vuntundi..
HATE_3422,You are Clarity.,non-hate,???? ?????????? ????????.
HATE_3423,Full Clarity Tho Unnaru And Correct Ga Chepparu ... Movies Lo Fan Following Veru ... Real Life Lo Fan Following Veru ..,non-hate,Full clarity tho unnaru and correct ga chepparu ... movies lo fan following veru ...real life lo fan following veru ..
HATE_3424,Full video please bayya,non-hate,Full video please bayya
HATE_3425,Experience Lekapothe Okasari Poyi Posani Adagandi Ra Notti Dula Valani Ela Deal Chesthamo,hate,Experience lekapothe okasari poyi  posani adagandi ra  notti dula valani ela deal chesthamo
HATE_3426,For these pawla gaze when it is understandable,non-hate,??? ??????? ????? ???????? ? ????? ???????
HATE_3427,Ayya â€‹â€‹kulalu kosam kaadu manchi nayakudini yennukonedi,non-hate,Ayya kulalu kosam kaadu manchi nayakudini yennukonedi
HATE_3428,This is Jalim Lotion,non-hate,????? ?????? ?????
HATE_3429,"Alredy Political Lo Jagan Mohan Reddy Garu Back To Back Sixes Kotti Chupinchadu
Edariki",non-hate,"Already Political lo Jagan Mohan Reddy Garu Back to Back sixes kotti chupinchadu
Edariki"
HATE_3430,"PK OK till the movie ...
Politics No ... I agree with you bro.",non-hate,"?????? ???? PK OK...
?????????? ??...???? ???? ???????????????? bro."
HATE_3431,Bayata Fans ni rechagottedhi ee chillar galle,hate,Bayata fans ni rechagottedhi ee chillar galle
HATE_3432,Enti kottedhi duck out ayyadu politicals lo,hate,enti kottedhi duck out ayyadu politics lo
HATE_3433,pk inka ka pauk apl jokers,hate,pk inka ka pauk ap lo jokers 
HATE_3434,Ede poindi kaadu manaki,non-hate,Ede poindi kaadu manaki
HATE_3435,Sri Chaitanya Sports Encourage Chesthundhi Antey Naku Namadam Kastam Ga Undhi,non-hate,Sri Chaitanya sports encourage chesthundhi antey Naku namadam kastam ga undhi
HATE_3436,Telangana Dongalu evaru? ... Diniki Kuda Samadanam Cheppandi,non-hate,Telangana dongalu evaru?... Diniki kuda samadanam cheppandi
HATE_3437,"Kaleswaram Sanka Nakenchendevaru
Dora",hate,"Kaleswaram sanka nakenchendevaru
Dora"
HATE_3438,The only leader without what this is ... APJ Abdul Kalam Gaaru only,non-hate,??? ??? ??????? ???? ???? ???????... Apj abdul kalam gaaru ???????
HATE_3439,Government money is not a single rupee behind it is APJ Abdul Kalam,non-hate,???????? ?????? ???? ?????? ???? ?????  ???????????? ??? APJ ??????? ?????
HATE_3440,Modi is unable to listen to the unnecessary dappu kotta,hate,??? ???????? ???? ???? ???????? ????? ??????? ?????? ?????? ???????
HATE_3441,Faltu Channel to say lies,hate,??????????? ???????? ??????????? ?????? ?????
HATE_3442,"Believe we, he eats a bill his property",hate,"??????? ???? , ??? ?? ??? ???? bill ?? ????? ???? ???????  ?????????? ???"
HATE_3443,Not behind .. Tell me how much it costs,non-hate,???? ??????? ???? ????.. ??? ????? ???????????? ?????? ????
HATE_3444,"15 lakhs, Okkokkoka dresses and money",non-hate,"????? ?????? ????? 15 ?????? , ????????  ?????? ????? ??? ??? ????? ??????????? ?????????"
HATE_3445,Before saying how much Adani is the property of Modi .. !!,non-hate,???? ???? ?????? ???? ????? ????? ??? ???? ??? ?????? ?????..!!
