S.No,Comments,Label,
HATE_3163,"Nenu vunnanu,nenu vinnanu,nenu chusanu.... all are eligible for the Oscar level performance",non-hate,
HATE_3164,Mimmalni chustunte Allu ramalingayyagaru comidy chusinattu vundi malli,non-hate,
HATE_3165,Hahaha papam aravind garu rathri nidra lo kuda tieup antey bayam vachetatlu undi,non-hate,
HATE_3166,Maa allu aravind gari comedy super allu sir plz meeru movies loo act cheyandi,non-hate,
HATE_3167,Allu aravind garilo manchi actor vunnaru hilarious,non-hate,
HATE_3168,Chachipothe pedakaram poyedhiga andhuku bathikavra,hate,
HATE_3169,Mulapeta lo 2 years chadhukuna,non-hate,
HATE_3170,ఏ జన్మలో ఏం పాపం చేసారో..చిరంజీవి గారు ఇలాంటి వారికి జన్మనిచ్చారు..,hate,
HATE_3171,ఎవరి కొండముచ్చు మొహాలు... ,hate,
HATE_3172,చీ ఫో మెగా ఫ్యామలీకి పారువ్ తీయడానికి పుటవ్ అని నా అభిప్రాయం,hate,
HATE_3173,Magadiki aada vesham vesinattundhi Srija. Aa maathranike pelli meedha pelli siggundali.,hate,
HATE_3174,dhobbey dhobbey antunnav enti. Chiraku dhobbinchadam baga alavatu anukunta. Neeku,hate,
HATE_3175,ఇలాంటి వీడియోస్ పెట్టి మా పరువు తీయకండి,hate,
HATE_3176,"Pillala gurinchi alochinchi husband tho kaliste andariki baguntundi, pls take care",non-hate,
HATE_3177,వాళ్లూ ఎలా ఉంటే మనకు ఎందుకు వాళ్ళ సొంతవిశాయలు,non-hate,
HATE_3178,Kothaga ee dharidram.  Inka vellu start chesaru,hate,
HATE_3179,ఛీ.. ఛీ...నాకు చచ్చి పోవలనిపిస్తుంది!!,hate,
HATE_3180,NTR anna la acting cheyleantey enko  janma ettale evarinaa... Jai NTR anna,non-hate,
HATE_3181,Dheni bhaga  deangali  rojani,hate,
HATE_3182,Abbabba em reply echadu boss supper,non-hate,
HATE_3183,తులసి మొక్క సార్ పవన్ కళ్యాణ్ గారు,non-hate,
HATE_3184,వెంకీ మామ ఫ్యాన్స్ జై వెంకీ మామ,non-hate,
HATE_3185,"Bokka spritual, ela champukkunnte years baby",hate,
HATE_3186,ఇక్కడ కామెడీ ఎక్కడ ఉంది రా బాబు......... మీ over action మీరు.......,hate,
HATE_3187,Washing powder NIRMA neevu maa mukyamantri awadam maa KARRMA,hate,
HATE_3188,మామ..ఎప్పుడూ gun రెఢీ గా ఉంచుతాడు..,non-hate,
HATE_3189,"Oka family motham industry akramincheste prati okkaru ilage matladali ,tappadu.",non-hate,
HATE_3190,Re endukura overacting thengutunnav,hate,
HATE_3191,Cheppindi chalu denge bokka,hate,
HATE_3192,Ee yadava monna balayya nu kuda alage annadu,hate,
HATE_3193,...A gundey Brathakali Bro,non-hate,
HATE_3194,మనోడు వెంకీ  బ్యాచ్ ...JOB PAKKA,non-hate,
HATE_3195,Meku kuda manchi bavisath unntadi,non-hate,
HATE_3196,వాడు చదవలేదు అని అర్థం అవుతుంది,non-hate,
HATE_3197,Atluntadhi mannolathini,non-hate,
HATE_3198,Chillara bokugallu,hate,
HATE_3199,Nijanga ilanti extraordinary persons untaru ,non-hate,
HATE_3200,Nijamga ala ante principal urukuntadantava bhayya,non-hate,
HATE_3201,Ma principal ni antha mata ante internals lo fasak ...,non-hate,
HATE_3202,Nuvvu nee fake muchatlu,hate,
HATE_3203,Vinevallu verrypappalithe edina chepthary..nammandi nammandi,hate,
HATE_3204,Ahh bongule,hate,
HATE_3205,Erripuk gallu meru,hate,
HATE_3206,Pedda sollugaadu,hate,
HATE_3207,Nijamga aadu annada.....veedu kurchoni sollu dhobbuthunnadu.....,hate,
HATE_3208,Brahmini name yenduku raa...Orey tingaroda as amai paruvu teestunavu,hate,
HATE_3209,వీడికి ఎక్కడ ఏ మాట్లాడాలో తెలిస్తే ఈ పాటికి ఎమ్మెల్యే అయ్యేవాడు... పాపం బ్రాహ్మణి వీడిని ఎలా భరిస్తుందో ఏంటో,hate,
HATE_3210,Emana common sense unda ra lokesh niku...aa video ki ni wife name mention cheyadam....first tym anpinchindi nuv nijam ga pappu ani...m,hate,
HATE_3211,Alaanti goppollaki ilaanti goppolle pudatharu..,non-hate,
HATE_3212,Meeru ala antunte Goosebumps vastunay sir,non-hate,
HATE_3213,Malli thintanu antadu chusava adhi comedy,non-hate,
HATE_3214,Jaffa mega family,hate,
HATE_3215,Uvvvvvvvvvvvvv  joke bagundi pulka,hate,
HATE_3216,Meru eppudu Telugu lone matlada Tharu ,non-hate,
HATE_3217,Anna boss mega star RC 15 ki dance ki andariki punakam ravalla anna,non-hate,
HATE_3218,జానీ మేటర్ చాలా సూపర్ గా ఇచ్చారు గాడ్ బ్లెస్స్ యు,non-hate,
HATE_3219,Shekhar gadu endi na ninnu pilchedi..,hate,
HATE_3220,Anna nv thopu neki sati yevaru leru,non-hate,
HATE_3221,మంచి ఆన్సర్ ఇచ్చారు బ్రో,non-hate,
HATE_3222,Chala smart anna nvu....puri sir koduku anioinchukunnav,non-hate,
HATE_3223,super cover drive puri babu,non-hate,
HATE_3224,మెగా ఫ్యామిలీ  అంటే నాకు చాలా ఇష్టం  అందులో  మా బాస్  చిరంజీవి  గారు,non-hate,
HATE_3225,Yadava Veshalu taginchukunte Baguntadi,hate,
HATE_3226,Gudda balisindara aadiga balayya fans ikkada,hate,
HATE_3227,Vediki Gudda baga balisindi anukunta..Balayya babu meeda jokes endukura ep,hate,
HATE_3228,Ne dramalu ayana daggariki velli chey muthipallu ralakodatadu,hate,
HATE_3229,Chempa pagilddemo,hate,
HATE_3230,Are Babu niku endukura,hate,
HATE_3231,Adi gadu bathroom velli vachi kadukkuntunadu,hate,
HATE_3232,Dance show erripuku chesesaru kadhara comedy zabardast lo cheyandi d lo dance cheyandi erripuku director erripuku editing,hate,
HATE_3233,I miss your పేరడీ సాంగ్స్ ఇన్ జబర్థస్త్ andi,non-hate,
HATE_3234,Xlent .....meeku meere saati.....very ,non-hate,
HATE_3235,ఇప్పుడు ఈయన అందరికీ ట్రాఫిక్ సిగ్నల్స్ గురించి చాలా చక్కగా పాటం చెప్పగలదు ఎందుకంటే గొప్ప గుణపాఠం ని కళ్ళారా వీక్షించారు కాబట్టి,non-hate,
HATE_3236,"ఆశ్చర్యం ఏంటంటే చాలామంది ట్రాక్ క్రాస్ చేసి వచ్చేసారు...బహుశా ఇప్పటికయినా అక్కడొక గేట్ ఉండాలని,దాన్ని అక్కడి వారందరూ పాటించాలని కోరుకుందాం...",non-hate,
HATE_3237,In direct reshmi ke kiss aadiga du sudheer bhaiyya,non-hate,
HATE_3238,Manu garu meru involve avvakandi chala chiraku ga vuntundhi,hate,
HATE_3239,తమ్ముడు రష్మీ కూడా నీ పాట కు ప్రాణం పోసింది,non-hate,
HATE_3240,Annaiah Ani sarlu vinna vinnali anipistundi annaiah ni songs,non-hate,
HATE_3241,Nv enjoy chestu bale padavu,non-hate,
HATE_3242,Enti bhaya ala shock ichav ammaikudu la unde vadivi,non-hate,
HATE_3243,Trolls chese vallaki pandage e video tho,non-hate,
HATE_3244,Ma sudheer anna ekkadunte akkade navvulu,non-hate,
HATE_3245,Late iena parlaydhu movie mamuluga vundakudadhu movie,non-hate,
HATE_3246,Mangli enni songs padi peruthechukundho valla sister ee okka song tho antha Peruthechukundhi you success continue like this sister,non-hate,
HATE_3247,Vedoka pulkagadu vinikanna Prakash Raj better,hate,
HATE_3248,"రమేష్ మాస్టర్ డ్యాన్స్ ప్రాక్టీస్ సూపర్, ఇదీ పద్దతి",non-hate,
HATE_3249,Yevaru e mogudu vadilesina pativratha ?!! ,hate,
HATE_3250,నీ బతుకు ఏంటి నువ్వు ఏం పనులు చేస్తావ్,hate,
HATE_3251,Ni batuku yente,hate,
HATE_3252,Veedi maatalaku yentha mandi kodathaaru veeni,hate,
HATE_3253,Karma ra Swami,hate,
HATE_3254,"Naaku okasari pisakalani undi, APsommullu tini.telangana lo pisikinchukuntunnaru",hate,
HATE_3255,Chi yentra makikarma,hate,
HATE_3256,Moddakuduv,hate,
HATE_3257,"Apande ra me ranku veshalu, me kullu comedy",hate,
HATE_3258,"Mee chatha face llu 
Mee kullu comedy tu",hate,
HATE_3259,Chachi urukuntav....anni thaguthe,hate,
HATE_3260,ఇండియన్ మైకేల్ జాక్సన్ ప్రభుదేవా గారు,non-hate,
HATE_3261,Telugu tamil industry la ki break dance nerpindhe prabhudeva..meru evergreen dancer sir,non-hate,
HATE_3262,Idhi dance ante super anna nee daggara evaraina sariporu mee vantilo undhi,non-hate,
HATE_3263,Hema kuturu chala chala baguntadi chala suma show lo chusanu,non-hate,
HATE_3264,Panikimalina,hate,
HATE_3265,Deeniki doolekkuva kovvu baga patti unnadi,hate,
HATE_3266,Ranku mundalu meru antha,hate,
HATE_3267,బొంగేం కాదు నువ్వు ఇంటికి వెళ్లి చూడు నీకే తెలుస్తది,hate,
HATE_3268,Pakkode meda pade edvadam tappa inkem radhu vedeki,hate,
HATE_3269,Veedu aadi gaadu maaradu veediki stage cleaning pani ivvandi,hate,
HATE_3270,Aree aadi entra ni balupu... Koncam siggu emaina unda,hate,
HATE_3271,Arey cheppu tho kodatha,hate,
HATE_3272,Nee video chusanu bagundi vishnu,non-hate,
HATE_3273,Kallu dengaya broo,hate,
HATE_3274,Pulihora raja gadu.. appudu choosina ladies tho pulihora kaluputhu untadi.. niku vere pani leda .. anni overaction video lu chestadu ..,hate,
HATE_3275,Ekkuva seyaku inka chalu,hate,
HATE_3276,Kama kukka,hate,
HATE_3277,Audience be like :- Bengu ! Athi bengaku,hate,
HATE_3278,Charan cute cute expressins  chala bagunnadu,non-hate,
HATE_3279,Migataa pannendu gantalu bathrooms clean cheskuntavara dyper aadhi,hate,
HATE_3280,Eetv lekapote adukku tine vallu,hate,
HATE_3281,"Ari pulka family chusi videos aa evi
Control words",hate,
HATE_3282,Nag garu chaitanya so beautiful.  చాలా బాగున్నారు మా అభిమాన హీరోలు,non-hate,
HATE_3283,Gunturodi yetakaram ante itlane untadi mari ,non-hate,
HATE_3284,అట్లుంటది మా ప్రభాస్ అన్న తోటి కెవ్వు కేక అంతే,non-hate,
HATE_3285,"Ok Andi Mari vallu sampadinchukovadanike ga ,vallu hero avadanike ga , maku 3 or 4 avutundi office nundi camp nundi ravadaniki  adi ma family kosam andaru ante, javan lanti valla to manakenti polika",non-hate,
HATE_3286,ఎవరు ఈవిడ ఒక ఫుల్ కొట్టి వచ్చినట్లు ఉంది,hate,
HATE_3287,Akka niku ekkuva inda endi...mata sariga ratle,hate,
HATE_3288,Meeru moosukunte baguntadi,hate,
HATE_3289,Guvva Balupu bagundhe niku,hate,
HATE_3290,Super cute జోడీ God bless యూ,non-hate,
HATE_3291,So much transformation in శ్రీముఖి.  Very good anchoring...,non-hate,
HATE_3292,Chala manchi singer  but win avvaladu but he will reach his success,non-hate,
HATE_3293,Deeni over ackshan ekkuva aiendi Chitra gari voice kanty emi baga lydu avidaaa chala paddathi ga untaru,hate,
HATE_3294,"Dabulu iste adi padindi
Dabulu iste villu act chesaru
Lavadaga laga undi set kaledu",hate,
HATE_3295,E bogada aadi gadu unte show sanka nakinatte,hate,
HATE_3296,Amma pai joke enty raaa..... Avulagallraa,hate,
HATE_3297,Tokka jokes,hate,
HATE_3298,Adhi nuv ekkuvachaiku ra kojja,hate,
HATE_3299,Pilla puk comedy,hate,
HATE_3300,Chala worst ga undi,hate,
HATE_3301,Modda lo comedy,hate,
HATE_3302,Specs teyi ra yedava,hate,
HATE_3303,Amma anaadhi.. inkokadu vastunaadu antaadhi.. nee bongulo comedy nuvu,hate,
HATE_3304,నోరు ముయ్. వాడు పరిపాలనా చేతగాని వాళ్లకి అన్న... అంతే.,hate,
HATE_3305,ఇలాంటి వెదవ పనులు మానండి,hate,
HATE_3306,Inni rojulaki veedni correct ga dengaruuu,hate,
HATE_3307,Sollu nayala,hate,
HATE_3308,Vidu vidi Kullu jokulu thuuuu,hate,
HATE_3309,Reyyy houleee chaduvu meedha jokulu coment cheyyakuuu... .. Daridrudaaa,hate,
HATE_3310,Ayithe poyi master gaadi modda guduvu,hate,
HATE_3311,Orey adhiga guddha mue,hate,
HATE_3312,Nuv velli vani solla cheeku aithe,hate,
HATE_3313,"God bless your relation madam, జై సుధీర్ అన్న",non-hate,
HATE_3314,నువ్వు సుధీర్ ని ఏనాడు పొగిడావులే నిన్న అయితే సుధీర్ ఎన్నోసార్లు పొగిడాడు చెత్త నా జఫ్ఫా,hate,
HATE_3315,నిన్ సుతే నిన్ను చూస్తే చంప పగల్గొట్టల్ అనిపిస్తూవుంది రో,hate,
HATE_3316,దీని దిక్కుమాలిన డాన్స్ ఏంటో???,hate,
HATE_3317,"Nattu ga , neku manishiki undalsina lakshanam okkati kooda ledhu kadha ra.",hate,
HATE_3318,ఈ మాట చాలు. ఈ ధైర్యం చాలు. ,non-hate,
HATE_3319,ఇలాంటి సెలబ్రిటీలు ఇలా షోష్ కు రావాలి sir,non-hate,
HATE_3320,తెలుగు తేజం ఇలాంటి మెడల్స్ . ఇంకా తీసుకొని రావాలని కోరుకుంటున్నాము,non-hate,
HATE_3321,Etuvanti interviews kadhaa manaki kavalsinavi,non-hate,
HATE_3322,Ilantivi kaadha ee generation ki inspiring untadhi...plz do more,non-hate,
HATE_3323,Superb మా,non-hate,
HATE_3324,Bagunnavu chai and pallavi,non-hate,
HATE_3325,Nv ni mokam,hate,
HATE_3326,ఈ మొహం చూస్తే నక్ చాలా ఛిరక్ గా అనిపిస్తుంది,hate,
HATE_3327,Deenni chusina prati sari naku penta kurchunna feeling vastandi ,hate,
HATE_3328,నిఖిల్ నీకు సూపర్ జోడి కావ్య,non-hate,
HATE_3329,Kavya చాలా అమాయకురాలు.,non-hate,
HATE_3330,దాని పువ్వు తాడిసిందో లేదో పోయి చూడు నీ నిమ్మకాయ వార్తలు..,hate,
HATE_3331,Erripukulu,hate,
HATE_3332,"ఇంత అందంగా ఎలా అంది మీరు
మీలానే మీ స్వరం కూడా చాల అందంగా ఉంది",non-hate,
HATE_3333,Chala chala bagunnav and nee voice kuda,non-hate,
HATE_3334,Patakanna manishi bavundi,non-hate,
HATE_3335,Abbo iragadesindi song vere level,non-hate,
HATE_3336,Modda gudisipotav bollywood content lamti movies tistey,hate,
HATE_3337,Thu vedu mokam tagaletta,hate,
HATE_3338,నిజంగా మీరు హీరోయిన్ లా ఉన్నారు,non-hate,
HATE_3339,కామెడీ కింగ్ బ్రహ్మీ గారు,non-hate,
HATE_3340,Brahmi ekkada untee akkada comedyy,non-hate,
HATE_3341,"బ్రహ్మీ సాఫ్ట్వేర్ ఇంజనీర్, ఐ లవ్ యు బ్రహ్మ sir ",non-hate,
HATE_3342,Sir malli meeru industry ki ravalai sir,non-hate,
HATE_3343,సినీ కళామతల్లి ముద్దుబిడ్డ మెగాస్టార్ చిరంజీవి గారు హ్యాట్సాఫ్ టు యూ అన్నయ్య,non-hate,
HATE_3344,తల్లి తండ్రుల పెంపకం అలా ఉండాలి హాయ్ నమస్తే అంటూ ఎంతో బాగుంది,non-hate,
HATE_3345,పాప ఇతరులకు నమస్తే పెట్టడం చాలా బాగుంది ఇది మన సంప్రదాయం అంటే,non-hate,
HATE_3346,Nu thopu director anna,non-hate,
HATE_3347,రంగస్థలం అప్పట్లో పాన్ ఇండియా మూవీ గా తిస్తె రికార్డ్స్ అన్ని బద్దలయ్యేవి,non-hate,
HATE_3348,Theatre lo chusi masth enjoyed,non-hate,
HATE_3349,Avinash మంచోడు బ్రో episode mottham choodu just నాగబాబు అనమని చెప్పాడు అంటా బ్రో episode lo...,non-hate,
HATE_3350, ఆ పాప సాహసం గొప్పదే.. కానీ ఆ soldier ఓపిక కూడా గొప్పదే.... ,non-hate,
HATE_3351,మరి సైనికుడి ఓపిక,non-hate,
HATE_3352, Iddaru same dress try cheyandi ,non-hate,
HATE_3353," ఎవడు బిక్షం వేసే వారి భజన చేయాలి, దీన్ని బట్టి చెప్పొచ్చు అన్న నువ్వు ఎందుకు టిఆర్ఎస్ భజన చేస్తున్నావు అని ",hate,
HATE_3354, Nuvu chepu ra lakadikapul Dubai ki yenduku velado donga malligadu ,hate,
HATE_3355, Okka kcr thappa vere party vallaki amathram chepparu e thenmar ,non-hate,
HATE_3356, Nvvu first e channel dheni kosam pettinav kcr kosama peoples ki emaina prayojanam vundhara entha sepu kcr sanka nakuthunnav ,hate,
HATE_3357, Arey Nuvu poyyi KCR gandhi Naku ra. Manchiga matladithey memu kuda manchiga matladtham. ,hate,
HATE_3358, arey shankar ga nvvu kcr sanka nakaku ra ,non-hate,
HATE_3359,"Idhi kadha ...kavalsidhi...
Jai kcr",non-hate,
HATE_3360,Rey first education health free ivvu racountry m cheddam anukuntunnav ra telangana katham chesina,non-hate,
HATE_3361,"ondarga sachipora taagubothu KCR
Talangana ki pattina daridram potadi",hate,
HATE_3362, శంకర్ రావు  జర ని భాష ఏంది బై  ఏం మాట్లాడుతున్నావ్ నీ కెమన్న జర్నలిజం విలువలు తెలుసా ఎంతిట్టుడు అది మార్చు భాష ,non-hate,
HATE_3363, నువ్వు ఎవడి ఉంపుడుగత్తెవో అందరికీ తెలిసిందే ,non-hate,
HATE_3364, నువ్వు తెరాస పార్టీ ..ఉంపుడు గత్తేనె కదా రా నువ్వు ,non-hate,
HATE_3365, Anna samskaram undali koncham manishiga puttinappudu. Sampadhinchali ante elagaina sampadhinchochu kaani ilanti bhaashani janalaku nerputhu kaadhu. ,non-hate,
HATE_3366, తెలంగాణ గౌరవాన్ని గుజరాతీ తాడిపార్ పడాల  ముందు ఉంచిన నత్తి గంజయ్..!! ,non-hate,
HATE_3367,Veedu gelisthe telangana people dhi kuda adhe situation,non-hate,
HATE_3368, Dinikanna sigguchetu inkoti oundadhu  mery ma cm anni telangana pattina peedha,hate,
HATE_3369, Thappem ledu cheppulu andisthe...oka IAS CM kaallu mokkithene anni muskoni unna meeku idela thappuga anipisthundi.. ,non-hate,
HATE_3370, Kcr appu inka akkuva chesadu kada adhi cheppu mari ,non-hate,
HATE_3371, First telangana gurunchi edvu  jai bjp ,non-hate,
HATE_3372, Orey  nuvvu trs Ki anthaki ammudu poyavu ra Niku Antha echaru ra TRS party Valli ,non-hate,
HATE_3373, Kcr gadu em pikindo cheppu ra shanka  r,hate,
HATE_3374, Kcr ke potenava ne Bathuku ,hate,
HATE_3375, U r the brokar in the party of trs ,hate,
HATE_3376, Arey r entha echchadu ra neeku ,non-hate,
HATE_3377,nuvvu poyi ktr gudda naku jai bjp,hate,
HATE_3378, Nuvvu dorikithe than thantharu pattukoni evariki kanabadaku ,non-hate,
HATE_3379, Good bro mari 400000 kotla appu chesina telangana gurinchi ndhuk matladav ,non-hate,
HATE_3380, Kaleshwaram paristhiti anti bayaa ,non-hate,
HATE_3381, Are o nuvvu sollu aapu thammi ,non-hate,
HATE_3382,modi to kcr : ey ley pilla bacha nayala,hate,
HATE_3383, Telangana prabutvam entha cheasindo chepav mari ,non-hate,
HATE_3384, Niku kcr eche salary kuda mem pay chese tax ee ,non-hate,
HATE_3385, రైతు బంధు కావాలి కానీ 5 ఎకరాల లోపు ఉన్నోళ్లకి ఇవ్వాలి ,non-hate,
HATE_3386," రైతు బంద్ వల్ల ఎవరికీ లాభంరా  నాయన, ఎవరికీ ఏకువా భూమి ఉంటే వాడికే ఏకువ లాభం, నువ్వు నీ బ్రోకర్  జర్నలిజం ",non-hate,
HATE_3387, Mr. Bandi అసలు 2019 కి ముందు ని అస్థి ఎంత ఇప్పుడు నీ ఆస్థి ఎంత.. ,non-hate,
HATE_3388, Arey babu asalu nuvu telangana lo m adikaram undhi ra matladaniki ,non-hate,
HATE_3389, Manchi vishayam telusukunam sir dhanyavadalu ,non-hate,
HATE_3390, తెలంగాణ రాష్ట్రం లో rsp గారు ముఖ్యమంత్రి అవ్వడం ఎవ్వరూ ఆపలేరు. ,non-hate,
HATE_3391,shankar ninnu bjp kukka kottinattu kodutaru,hate,
HATE_3392, హత్యకు ప్లాన్ చేశారా.... ఒక మంత్రికి ఎంత సెక్యూరిటీ ఉంటుందో తెలుసా... అంత మంది సెక్యూరిటీ ని తప్పించుకొని సామాన్యులు మంత్రిని హత్య చేసేంత ఉంటుందా.....మంత్రిని కాపాడలేకపోతే ఆ సెక్యూరిటీ లకు ప్రజల సొమ్ముతో జీతాలు ఎందుకు ఇస్తున్నట్టు... ,non-hate,
HATE_3393,kcr  ktr chanchi povali anni black magic chesthunna jai bjp,hate,
HATE_3394, అరేయ్ బాబు నీ న్యూస్ మొత్తం TRS పార్టీకి అనుకూలంగా ఉన్నది... ,non-hate,
HATE_3395, రఘు. మల్లన్న నే లోకం అన్నట్లు చేస్తున్నావ్..  జర వేరే చెప్పు.. ,non-hate,
HATE_3396,Arey shankar lanti lucha galani namadhu vadu trs kukka,hate,
HATE_3397, Valla kosam ne Life risk chesukoku ,non-hate,
HATE_3398," Police vallu cheppindi antha nijamena, poorthi enquiry ayina tharavatha nuvvu vallanu criminals Ani cheppu brother. ",non-hate,
HATE_3399,Neeku KCR and KTR gaadu bichamesthundara,hate,
HATE_3400,సాక్షి అంటేనే అబద్దలకు care of address,non-hate,
HATE_3401,చెప్పేది పూర్తిగా చెప్పనిస్తే సరిపోతా ది,non-hate,
HATE_3402,ఇందులో ఒక్క నిజం ఉంది... లైఫ్ సాఫీగా జరిగేవాళ్ళు బయట పాడారు.. ఎందుకు అంటే వాళ్లకి అవకాశాలు ఉన్నాయి కాబట్టి..,non-hate,
HATE_3403,"అంటేనే పెద్ద దరిద్రం, దానిని మళ్లీ కళామ తల్లి అని పెద్ద పెద్ద స్పీచులు దంచుతారు, గౌరవం మాటల్లో , కామం కళ్ళలో, చండాలం మనసుసులో, రోగం శరీరంలో ఉండే ఒకే ఒక వ్యవస్థ, ",hate,
HATE_3404,మీరు కొనుడు కాదు సారు నీ బిడ్డలాంటి ప్రజలు కొనాలి,non-hate,
HATE_3405,నువ్వు ఏం అన్న కష్టం చేసి కొన్నాధా మా సొమ్మేగా ప్రజలది.,non-hate,
HATE_3406,Na ayya somma aa paisalu. Ma daggara ni dengesina babbulu avi  emanna kontav,hate,
HATE_3407,KCR nivi Anni dongaa mataalu dongaa buddulu,hate,
HATE_3408,Anna challa chinna pilla e ammaini inthaalaa torcher chesthunnaru. Mee pillalanuu elaghe chesthey elaaa untadhi annadhi meruu ardham chesukondi. Inkaaa meruu elagheee chesthanuui antay devuduuu meeku thaghinaa mulyam chellisthaduuu. Nijangaa aaa Thirupathi venkteshwarlu swamy untay mekuu emikakundaaa me minduu mi family lu kulipovalani korukuntunna from telangan,non-hate,
HATE_3409,"సిగ్గు లేదురా ఒక చిన్న పిల్లని troll చేయడానికి, గాడిద.......రాజకీయాల కోసం చిన్న పిల్లలనీ కూడా లాగుతరా చీ ని బతుకులు",non-hate,
HATE_3410,కడుపుకి అన్నం తింటున్నారా గడ్డి తింటున్నారా...గాడుదు ల్లారా  చిన్న పిల్లని ఇమిటేట్ చేయ్యటానికి,hate,
HATE_3411,అనిల్ గానీ వాయిస్ వింటే నాకు ఎక్కడో కలుది.... విడు విని మాటలు...వెస్ట్ న కొంది,non-hate,
HATE_3412,కమెడియన్స్ మినిష్టర్లయితే ఇలాగే ఉంటుంది,non-hate,
HATE_3413,"అంబటి గారు బాగా చెప్పారు, ముందు చెప్పిన ముగ్గురు దద్దమ్మలు కాబట్టే డేట్లు చెప్పారు. నువ్వు గొప్పొడివి సామి.",non-hate,
HATE_3414,మీకు వంద నమస్కారాలు రా బాబు,non-hate,
HATE_3415,"రాంబాబు గారు కరెక్ట్ గ చెప్పారు.
మావల్ల కాదు అని చెప్పకుండా ఎప్పటికి అవుతుందో డేటు టైమ్ చెప్పలేము.అని చాలా హుందాగా ఒప్పుకున్నారు.",non-hate,
HATE_3416,పర్శంట్...అరపర్శంట..తొందర.. ఎందుకన్న...నిదానంగా...దుకుత,non-hate,
HATE_3417,Devudu anna padham chala strong feeling confident nii istundh,non-hate,
HATE_3418,"తమ్ముడు తమ్ముడే, పేకాట పేకాటే అన్నట్లు వుండాలి డబ్బు విషయంలో...
Boy friend, bar friend, bottle friend అని డబ్బులు పెడితే, ఇలానే అవ్వుద్ధి.",hate,
HATE_3419,చార్మి పూర్తిగా కుదేలు నాకు ఇంకో la కనిపించింది,hate,
HATE_3420,తైతక్కకి కూడా పెద్ద బొక్క పడిందంట కదా.,non-hate,
HATE_3421,Poyi poyi Bollywood vaalatho kalisi theesthey ilaane vuntundi..,hate,
HATE_3422,మీరు క్లారిటీగా వున్నారు.,non-hate,
HATE_3423,Full clarity tho unnaru and correct ga chepparu ... movies lo fan following veru ...real life lo fan following veru ..,non-hate,
HATE_3424,Full video please bayya,non-hate,
HATE_3425,Experience lekapothe okasari poyi  posani adagandi ra  notti dula valani ela deal chesthamo,hate,
HATE_3426,అది ఎప్పుడు అర్థం అవుతుందో ఈ పావలా గాళ్ళకి,non-hate,
HATE_3427,Ayya kulalu kosam kaadu manchi nayakudini yennukonedi,non-hate,
HATE_3428,ఇదేదో జాలిమ్ లోషన్,non-hate,
HATE_3429,"Already Political lo Jagan Mohan Reddy Garu Back to Back sixes kotti chupinchadu
Edariki",non-hate,
HATE_3430,"సినిమా వరకు PK OK...
పాలిటిక్స్ నో...నేను నీతో ఏకీభవిస్తున్నాను bro.",non-hate,
HATE_3431,Bayata fans ni rechagottedhi ee chillar galle,hate,
HATE_3432,enti kottedhi duck out ayyadu politics lo,hate,
HATE_3433,pk inka ka pauk ap lo jokers ,hate,
HATE_3434,Ede poindi kaadu manaki,non-hate,
HATE_3435,Sri Chaitanya sports encourage chesthundhi antey Naku namadam kastam ga undhi,non-hate,
HATE_3436,Telangana dongalu evaru?... Diniki kuda samadanam cheppandi,non-hate,
HATE_3437,"Kaleswaram sanka nakenchendevaru
Dora",hate,
HATE_3438,ఇలా ఏమి లేకుండా ఉన్న ఏకైక నాయకుడు... Apj abdul kalam gaaru మాత్రమే,non-hate,
HATE_3439,ప్రభుత్వ సొమ్ము ఒక్క రూపాయి కూడా వెనుక  వేసుకోలేదంటే అది APJ అబ్దుల్ కలామ్,non-hate,
HATE_3440,అంత నిజాయితీ లేడు మోడీ అనవసరంగా డప్పు కోత్తకు ప్లీస్ వినలేక పోతున్న,hate,
HATE_3441,సిగ్గుండాలి అబద్దాలు చెప్పడానికి ఫాల్తూ ఛానల్,hate,
HATE_3442,"నమ్మాలి మేము , ఆయన ఒక పూట తినే bill తన ఆస్తి అంటే నమ్ముతా  పిచ్చొడ్ని కదా",hate,
HATE_3443,వెనక వేసింది కాదు గాని.. ఎంత ఖర్చు చేస్తున్నాడో చెప్పు అమ్మ,non-hate,
HATE_3444,"మేూడి డ్రేస్ ఖరీదు 15 లక్షలు , ఓక్కోక్క  డ్రెస్ కరిదు మరి ఇంత డబ్బు ఎక్కడినుంచి వచ్చాయమ్మ",non-hate,
HATE_3445,మోడీ గారి బినామీ అయిన అదానీ ఆస్తి ఎంత ఉందో అది చెప్పు ముందు..!!,non-hate,
HATE_3446,నువ్వు చేపింది ఎవడు నమ్ముతడు సిగ్గు ఈజ్జతి ఉండాలి చెప్పడానికి  తు,non-hate,
HATE_3447,పవిత్రతో పవిత్రభందం ప్రారంభించిన పవిత్రుడు నరేష్,non-hate,
HATE_3448,pavitra ki pelli kakunda oka abyyai kapuram cheshindhi,hate,
HATE_3449,సర్వసంగపరిచావులుగా ఉండవలసిన సన్యాసులు నీకెందుకు రాజకీయాలు,non-hate,
HATE_3450,"దెయ్యాలు కనిపిస్తే ఎవరైనా దాడుసుకు0టారు ..
ఆ రావటం కూడా చూడు ఎలా వంచ్చాడో , అరుంధతి సినిమాలో పశుపతి లాగా",non-hate,
